in s,C1 in V
-1.9745104E-02,1.18051E+01
-1.9744800E-02,1.17660E+01
-1.9744496E-02,1.17855E+01
-1.9744192E-02,1.17465E+01
-1.9743888E-02,1.18637E+01
-1.9743584E-02,1.18051E+01
-1.9743280E-02,1.17855E+01
-1.9742976E-02,1.18051E+01
-1.9742672E-02,1.18051E+01
-1.9742368E-02,1.18051E+01
-1.9742064E-02,1.18051E+01
-1.9741760E-02,1.17855E+01
-1.9741456E-02,1.18441E+01
-1.9741152E-02,1.17660E+01
-1.9740848E-02,1.18246E+01
-1.9740544E-02,1.18051E+01
-1.9740240E-02,1.18246E+01
-1.9739936E-02,1.17465E+01
-1.9739632E-02,1.18246E+01
-1.9739328E-02,1.17465E+01
-1.9739024E-02,1.17855E+01
-1.9738720E-02,1.18051E+01
-1.9738416E-02,1.17855E+01
-1.9738112E-02,1.17660E+01
-1.9737808E-02,1.18246E+01
-1.9737504E-02,1.18246E+01
-1.9737200E-02,1.17855E+01
-1.9736896E-02,1.18051E+01
-1.9736592E-02,1.18441E+01
-1.9736288E-02,1.17270E+01
-1.9735984E-02,1.18441E+01
-1.9735680E-02,1.17660E+01
-1.9735376E-02,1.18637E+01
-1.9735072E-02,1.18246E+01
-1.9734768E-02,1.18051E+01
-1.9734464E-02,1.17660E+01
-1.9734160E-02,1.17660E+01
-1.9733856E-02,1.19027E+01
-1.9733552E-02,1.17465E+01
-1.9733248E-02,1.17660E+01
-1.9732944E-02,1.18637E+01
-1.9732640E-02,1.18051E+01
-1.9732336E-02,1.18051E+01
-1.9732032E-02,1.18246E+01
-1.9731728E-02,1.18051E+01
-1.9731424E-02,1.18441E+01
-1.9731120E-02,1.18441E+01
-1.9730816E-02,1.18051E+01
-1.9730512E-02,1.17855E+01
-1.9730208E-02,1.17465E+01
-1.9729904E-02,1.18441E+01
-1.9729600E-02,1.17465E+01
-1.9729296E-02,1.18246E+01
-1.9728992E-02,1.17660E+01
-1.9728688E-02,1.18637E+01
-1.9728384E-02,1.17855E+01
-1.9728080E-02,1.17660E+01
-1.9727776E-02,1.18051E+01
-1.9727472E-02,1.17660E+01
-1.9727168E-02,1.17660E+01
-1.9726864E-02,1.17855E+01
-1.9726560E-02,1.18246E+01
-1.9726256E-02,1.18246E+01
-1.9725952E-02,1.17855E+01
-1.9725648E-02,1.18051E+01
-1.9725344E-02,1.17855E+01
-1.9725040E-02,1.17855E+01
-1.9724736E-02,1.17660E+01
-1.9724432E-02,1.17660E+01
-1.9724128E-02,1.18051E+01
-1.9723824E-02,1.18051E+01
-1.9723520E-02,1.18246E+01
-1.9723216E-02,1.18051E+01
-1.9722912E-02,1.18051E+01
-1.9722608E-02,1.18246E+01
-1.9722304E-02,1.18246E+01
-1.9722000E-02,1.18051E+01
-1.9721696E-02,1.17660E+01
-1.9721392E-02,1.18246E+01
-1.9721088E-02,1.18246E+01
-1.9720784E-02,1.18051E+01
-1.9720480E-02,1.18246E+01
-1.9720176E-02,1.18441E+01
-1.9719872E-02,1.18051E+01
-1.9719568E-02,1.18246E+01
-1.9719264E-02,1.18051E+01
-1.9718960E-02,1.18051E+01
-1.9718656E-02,1.17465E+01
-1.9718352E-02,1.17660E+01
-1.9718048E-02,1.18051E+01
-1.9717744E-02,1.17855E+01
-1.9717440E-02,1.17270E+01
-1.9717136E-02,1.17855E+01
-1.9716832E-02,1.17855E+01
-1.9716528E-02,1.18637E+01
-1.9716224E-02,1.17660E+01
-1.9715920E-02,1.17855E+01
-1.9715616E-02,1.18441E+01
-1.9715312E-02,1.18246E+01
-1.9715008E-02,1.18441E+01
-1.9714704E-02,1.17660E+01
-1.9714400E-02,1.18051E+01
-1.9714096E-02,1.17660E+01
-1.9713792E-02,1.17855E+01
-1.9713488E-02,1.18832E+01
-1.9713184E-02,1.18246E+01
-1.9712880E-02,1.18246E+01
-1.9712576E-02,1.17660E+01
-1.9712272E-02,1.17465E+01
-1.9711968E-02,1.17855E+01
-1.9711664E-02,1.18441E+01
-1.9711360E-02,1.18246E+01
-1.9711056E-02,1.18051E+01
-1.9710752E-02,1.17660E+01
-1.9710448E-02,1.18246E+01
-1.9710144E-02,1.18441E+01
-1.9709840E-02,1.18246E+01
-1.9709536E-02,1.17660E+01
-1.9709232E-02,1.17660E+01
-1.9708928E-02,1.17660E+01
-1.9708624E-02,1.17855E+01
-1.9708320E-02,1.18637E+01
-1.9708016E-02,1.18051E+01
-1.9707712E-02,1.17855E+01
-1.9707408E-02,1.17270E+01
-1.9707104E-02,1.18246E+01
-1.9706800E-02,1.18246E+01
-1.9706496E-02,1.18246E+01
-1.9706192E-02,1.18246E+01
