"Time / s","Vm1:Measured voltage"
3.3060516322279372,12.05265085037656
3.3060516322280313,12.052650850436908
3.3060547507505986,12.051996639256553
3.3060547507506928,12.051996639156712
3.3060553191488422,12.051635880145911
3.3060553191489364,12.051635880126241
3.3060558875470858,12.051759128366129
3.3060558875471799,12.051759128426626
3.3060590060697472,12.051110042417909
3.3060590060698414,12.051110042318228
3.3060595744679913,12.050750256059557
3.3060595744680854,12.050750256040049
3.3060601428662348,12.050874483210617
3.306060142866329,12.050874483271276
3.3060632613888963,12.050230978645747
3.3060632613889904,12.050230978546242
3.3060638297871403,12.049872247812008
3.3060638297872345,12.049872247792676
3.3060643981853839,12.049997536543165
3.306064398185478,12.049997536604002
3.3060675167080453,12.04936006469427
3.3060675167081395,12.049360064594952
3.3060680851062894,12.049002471238436
3.3060680851063835,12.049002471219293
3.3060686535045329,12.049128903271553
3.3060686535046271,12.04912890333258
3.3060717720271944,12.048497910192244
3.3060717720272885,12.048497910093129
3.306072340425438,12.04814153500717
3.3060723404255321,12.048141534988229
3.3060729088236815,12.048269191063808
3.3060729088237757,12.048269191125037
3.306076027346343,12.047645117134802
3.3060760273464371,12.0476451170359
3.306076595744587,12.047290040009635
3.3060765957446812,12.047290039990909
3.3060771641428306,12.047418999740961
3.3060771641429247,12.047418999802407
3.306080282665492,12.046802279393079
3.3060802826655862,12.046802279294406
3.3060808510637361,12.046448579034731
3.3060808510638302,12.046448579016234
3.3060814194619796,12.046578920956842
3.3060814194620738,12.046578921018517
3.3060845379846411,12.045969982181839
3.3060845379847352,12.045969982083406
3.3060851063828851,12.045617736061894
3.3060851063829793,12.045617736043639
3.3060856747811287,12.045749537491272
3.3060856747812228,12.045749537553188
3.3060887933037901,12.045148801511486
3.3060887933038843,12.045148801413305
3.3060893617020337,12.04479808588078
3.3060893617021279,12.044798085862778
3.3060899301002773,12.044931422862794
3.3060899301003714,12.044931422924966
3.3060930486229387,12.044339303841477
3.3060930486230329,12.044339303743563
3.3060936170211828,12.043990193607772
3.3060936170212769,12.043990193590037
3.3060941854194263,12.044125140861651
3.3060941854195205,12.044125140924089
3.3060973039420878,12.043542045508616
3.3060973039421819,12.043542045410979
3.3060978723403318,12.043194614206048
3.306097872340426,12.043194614188589
3.3060984407385754,12.043331245053686
3.3060984407386695,12.043331245116404
3.3061015592612368,12.042757572299379
3.306101559261331,12.042757572202031
3.3061021276594804,12.042411892008912
3.3061021276595746,12.042411891991746
3.306102696057724,12.04255027832126
3.3061026960578181,12.042550278384269
3.3061058145803854,12.041986418913016
3.3061058145804796,12.04198641881597
3.3061063829786295,12.041642560206187
3.3061063829787236,12.041642560189322
3.306106951376873,12.041782772334827
3.3061069513769672,12.04178277239814
3.3061100698995345,12.04122910862095
3.3061100698996286,12.041229108524217
3.3061106382977785,12.040887140524442
3.3061106382978727,12.040887140507889
3.3061112066960221,12.041029247249533
3.3061112066961162,12.041029247313158
3.3061143252186835,12.040486152805196
3.3061143252187777,12.040486152708786
3.3061148936169276,12.040146142673798
3.3061148936170217,12.040146142657571
3.3061154620151711,12.040290211142993
3.3061154620152653,12.040290211206946
3.3061185805378326,12.039758050431413
3.3061185805379267,12.039758050335339
3.3061191489360762,12.03942006399825
3.3061191489361703,12.039420063982359
3.3061197173343198,12.039566159667068
3.3061197173344139,12.039566159731356
3.3061228358569812,12.039045287770705
3.3061228358570753,12.039045287674975
3.3061234042552252,12.038709389001031
3.3061234042553194,12.038709388985486
3.3061239726534688,12.038857575587087
3.3061239726535629,12.038857575651722
3.3061270911761302,12.038348337887493
3.3061270911762244,12.038348337792121
3.3061276595743743,12.038014588965121
3.3061276595744684,12.038014588949931
3.3061282279726179,12.038164928385342
3.306128227972712,12.038164928450334
3.3061313464952793,12.037667660310035
3.3061313464953734,12.037667660215028
3.3061319148935233,12.03733612157712
3.3061319148936175,12.037336121562298
3.3061324832917669,12.037488673901573
3.306132483291861,12.03748867396693
3.3061356018144283,12.037003700587473
3.3061356018145225,12.037003700492841
3.3061361702126719,12.036674430492821
3.3061361702127661,12.036674430478374
3.3061367386109155,12.036829253894751
3.3061367386110097,12.036829253960486
3.3061398571335769,12.036356889972062
3.3061398571336711,12.036356889877815
3.306140425531821,12.036029945022438
3.3061404255319151,12.036029945008377
3.3061409939300646,12.036187095726396
3.3061409939301587,12.036187095792515
3.306144112452726,12.035727645012587
3.3061441124528201,12.035727644918735
3.30614468085097,12.035403079732193
3.3061446808510642,12.035403079718526
3.3061452492492136,12.035562611967956
3.3061452492493077,12.03556261203447
3.306148367771875,12.035116367251483
3.3061483677719692,12.035116367158032
3.3061489361701191,12.034794234136839
3.3061489361702132,12.034794234123575
3.3061495045683627,12.034956200095458
3.3061495045684568,12.034956200162375
3.3061526230910241,12.034523442841012
3.3061526230911182,12.034523442747973
3.3061531914892677,12.034203792300817
3.3061531914893618,12.034203792287965
3.3061537598875113,12.034368242091068
3.3061537598876054,12.034368242158397
3.3061568784101727,12.033949242295416
3.3061568784102668,12.033949242202796
3.3061574468084167,12.033632122621471
3.3061574468085109,12.033632122609038
3.3061580152066603,12.033799104227242
3.3061580152067545,12.033799104294991
3.3061611337293217,12.033394120079794
3.3061611337294159,12.033394119987602
3.3061617021275658,12.033079577411726
3.3061617021276599,12.03307957739972
3.3061622705258094,12.033249136652683
3.3061622705259035,12.033249136720858
3.3061653890484708,12.032858414414513
3.3061653890485649,12.032858414322753
3.3061659574467148,12.032546492691653
3.306165957446809,12.03254649268008
3.3061665258449584,12.032718673186217
3.3061665258450526,12.032718673254827
